nameWithOwner,name,url,stars,primary_language,mergedPRsCount,closedPRsCount,totalPRs
sherlock-project/sherlock,sherlock,https://github.com/sherlock-project/sherlock,83030,Python,743,602,1345
animate-css/animate.css,animate.css,https://github.com/animate-css/animate.css,82513,CSS,315,586,901
DopplerHQ/awesome-interview-questions,awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions,82409,,175,36,211
bregman-arie/devops-exercises,devops-exercises,https://github.com/bregman-arie/devops-exercises,82252,Python,309,116,425
zed-industries/zed,zed,https://github.com/zed-industries/zed,82118,Rust,24141,3722,27863
tonsky/FiraCode,FiraCode,https://github.com/tonsky/FiraCode,81567,Clojure,144,59,203
Developer-Y/cs-video-courses,cs-video-courses,https://github.com/Developer-Y/cs-video-courses,81045,,265,55,320
localsend/localsend,localsend,https://github.com/localsend/localsend,80764,Dart,703,112,815
openai/codex,codex,https://github.com/openai/codex,80635,Rust,6318,3374,9692
spring-projects/spring-boot,spring-boot,https://github.com/spring-projects/spring-boot,80577,Java,100,7403,7503
vitejs/vite,vite,https://github.com/vitejs/vite,80441,TypeScript,6252,1858,8110
junegunn/fzf,fzf,https://github.com/junegunn/fzf,80049,Go,657,446,1103
infiniflow/ragflow,ragflow,https://github.com/infiniflow/ragflow,79899,Python,6079,717,6796
karpathy/autoresearch,autoresearch,https://github.com/karpathy/autoresearch,79468,Python,7,223,230
anuraghazra/github-readme-stats,github-readme-stats,https://github.com/anuraghazra/github-readme-stats,79290,JavaScript,1568,1301,2869
vllm-project/vllm,vllm,https://github.com/vllm-project/vllm,79279,Python,16315,6745,23060
hoppscotch/hoppscotch,hoppscotch,https://github.com/hoppscotch/hoppscotch,79124,TypeScript,2093,976,3069
doocs/advanced-java,advanced-java,https://github.com/doocs/advanced-java,78975,Java,91,51,142
netdata/netdata,netdata,https://github.com/netdata/netdata,78728,C,12077,1402,13479
Stirling-Tools/Stirling-PDF,Stirling-PDF,https://github.com/Stirling-Tools/Stirling-PDF,78356,TypeScript,3409,819,4228
d2l-ai/d2l-zh,d2l-zh,https://github.com/d2l-ai/d2l-zh,77707,Python,1019,257,1276
tensorflow/models,models,https://github.com/tensorflow/models,77667,Python,2344,1345,3689
jesseduffield/lazygit,lazygit,https://github.com/jesseduffield/lazygit,77577,Go,1906,373,2279
swisskyrepo/PayloadsAllTheThings,PayloadsAllTheThings,https://github.com/swisskyrepo/PayloadsAllTheThings,77528,Python,567,166,733
coder/code-server,code-server,https://github.com/coder/code-server,77430,TypeScript,1675,482,2157
nomic-ai/gpt4all,gpt4all,https://github.com/nomic-ai/gpt4all,77358,C++,938,222,1160
PaddlePaddle/PaddleOCR,PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,77277,Python,3155,742,3897
elastic/elasticsearch,elasticsearch,https://github.com/elastic/elasticsearch,76653,Java,90268,12157,102425
FortAwesome/Font-Awesome,Font-Awesome,https://github.com/FortAwesome/Font-Awesome,76569,JavaScript,220,475,695
ventoy/Ventoy,Ventoy,https://github.com/ventoy/Ventoy,76444,C,297,170,467
lobehub/lobehub,lobehub,https://github.com/lobehub/lobehub,76167,TypeScript,5310,1624,6934
sdmg15/Best-websites-a-programmer-should-visit,Best-websites-a-programmer-should-visit,https://github.com/sdmg15/Best-websites-a-programmer-should-visit,76035,,431,582,1013
typicode/json-server,json-server,https://github.com/typicode/json-server,75540,JavaScript,171,236,407
nestjs/nest,nest,https://github.com/nestjs/nest,75412,TypeScript,8316,2369,10685
awesomedata/awesome-public-datasets,awesome-public-datasets,https://github.com/awesomedata/awesome-public-datasets,75164,,188,108,296
dair-ai/Prompt-Engineering-Guide,Prompt-Engineering-Guide,https://github.com/dair-ai/Prompt-Engineering-Guide,74301,MDX,342,63,405
redis/redis,redis,https://github.com/redis/redis,74188,C,4538,2625,7163
unionlabs/union,union,https://github.com/unionlabs/union,74105,Rust,3111,331,3442
tesseract-ocr/tesseract,tesseract,https://github.com/tesseract-ocr/tesseract,73952,C++,1435,244,1679
grafana/grafana,grafana,https://github.com/grafana/grafana,73616,TypeScript,65562,11180,76742
vuejs/awesome-vue,awesome-vue,https://github.com/vuejs/awesome-vue,73593,,3633,394,4027
openai/openai-cookbook,openai-cookbook,https://github.com/openai/openai-cookbook,73307,Jupyter Notebook,1026,528,1554
thedotmack/claude-mem,claude-mem,https://github.com/thedotmack/claude-mem,73243,TypeScript,347,502,849
enaqx/awesome-react,awesome-react,https://github.com/enaqx/awesome-react,73178,,797,619,1416
twitter/the-algorithm,the-algorithm,https://github.com/twitter/the-algorithm,73113,Scala,2,378,380
ocornut/imgui,imgui,https://github.com/ocornut/imgui,73039,C++,419,1115,1534
OpenHands/OpenHands,OpenHands,https://github.com/OpenHands/OpenHands,72815,Python,6960,2816,9776
apache/superset,superset,https://github.com/apache/superset,72723,TypeScript,17194,5073,22267
PKUFlyingPig/cs-self-learning,cs-self-learning,https://github.com/PKUFlyingPig/cs-self-learning,72660,HTML,315,61,376
python/cpython,cpython,https://github.com/python/cpython,72598,Python,58693,10167,68860
thedaviddias/Front-End-Checklist,Front-End-Checklist,https://github.com/thedaviddias/Front-End-Checklist,72561,,179,135,314
Z4nzu/hackingtool,hackingtool,https://github.com/Z4nzu/hackingtool,72544,Python,58,92,150
abi/screenshot-to-code,screenshot-to-code,https://github.com/abi/screenshot-to-code,72463,TypeScript,78,90,168
josephmisiti/awesome-machine-learning,awesome-machine-learning,https://github.com/josephmisiti/awesome-machine-learning,72410,Python,915,151,1066
daytonaio/daytona,daytona,https://github.com/daytonaio/daytona,72380,TypeScript,2243,1091,3334
